track_name,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,album_img,category
He's Misstra Know-It-All,Stevie Wonder,Innervisions,0.52,0.774,F#,-10.098,major,0.0636,0.217,0,0.0673,0.717,79.145,7sQ9eys8uVNrCsPyzYlDgG,335227,4,F# major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/22d572f30398d3881b6f6f77edd4ecc59d24497d,_albumoftheyear
Smile Please,Stevie Wonder,Fulfillingness' First Finale,0.559,0.474,A,-13.758,major,0.0464,0.713,0.0151,0.239,0.463,117.71,1ICQvlzjWbQkVcjEsEsHc3,208097,4,A major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/3af06ceb41722d5a2c0aa90c7a01657cfac44460,_albumoftheyear
Heaven Is 10 Zillion Light Years Away,Stevie Wonder,Fulfillingness' First Finale,0.557,0.591,G#,-10.994,minor,0.0462,0.42,2.06e-4,0.545,0.481,90.226,2jEikvInB6SoZtJe13QdtN,302493,4,G# minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/3af06ceb41722d5a2c0aa90c7a01657cfac44460,_albumoftheyear
Too Shy To Say,Stevie Wonder,Fulfillingness' First Finale,0.28,0.234,F#,-13.557,minor,0.0297,0.882,3.2e-4,0.122,0.0623,110.149,6RipbJl00ATUBclT3l0aKm,209e3,4,F# minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/3af06ceb41722d5a2c0aa90c7a01657cfac44460,_albumoftheyear
Boogie On Reggae Woman,Stevie Wonder,Fulfillingness' First Finale,0.886,0.739,C#,-10.057,major,0.0513,0.225,0.0311,0.0938,0.658,106.948,7wOKVOhqghB6rCyaPWVegJ,296333,4,C# major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/3af06ceb41722d5a2c0aa90c7a01657cfac44460,_albumoftheyear
Creepin',Stevie Wonder,Fulfillingness' First Finale,0.616,0.383,B,-11.502,major,0.0238,0.466,8.33e-6,0.112,0.337,92.346,0ZeIIH9cunWMWXPHfkZeMl,262600,4,B major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/3af06ceb41722d5a2c0aa90c7a01657cfac44460,_albumoftheyear
You Haven't Done Nothin',Stevie Wonder,Fulfillingness' First Finale,0.75,0.629,A#,-9.978,minor,0.0381,0.294,7.52e-5,0.439,0.824,101.472,1inwt0v9a4ib9yS6Y4KsdM,202707,4,A# minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/3af06ceb41722d5a2c0aa90c7a01657cfac44460,_albumoftheyear
It Ain't No Use,Stevie Wonder,Fulfillingness' First Finale,0.339,0.566,F#,-9.075,major,0.0396,0.787,4.11e-6,0.0994,0.626,174.25,2qgtggRytNJGqqfbygIjaP,241027,4,F# major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/3af06ceb41722d5a2c0aa90c7a01657cfac44460,_albumoftheyear
They Won't Go When I Go,Stevie Wonder,Fulfillingness' First Finale,0.265,0.235,F#,-12.393,minor,0.0315,0.857,0.304,0.126,0.038,116.044,1lIOMibFPfFYlJnjQaZluo,358933,3,F# minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/3af06ceb41722d5a2c0aa90c7a01657cfac44460,_albumoftheyear
Bird Of Beauty,Stevie Wonder,Fulfillingness' First Finale,0.628,0.825,B,-10.51,minor,0.0739,0.541,9.73e-5,0.373,0.441,96.68,2IQE9PaIpiKmw2Xln7ghB1,228467,4,B minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/3af06ceb41722d5a2c0aa90c7a01657cfac44460,_albumoftheyear
