mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_year,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,fg_pos,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,debut,yahoo_id,yahoo_name,yahoo_pos,mlb_depth,ottoneu_id,ottoneu_name,ottoneu_pos
519208,Clint Robinson,1B,WSH,Washington Nationals,L,L,1985,56655,robincl01,Clint Robinson,1741689,Clint Robinson,1B,30903,Clint Robinson,1B,6908,Clint Robinson,1B/OF,robincl01,9211,Clint Robinson,1B,robic001,Clint Robinson,20120608,9211,Clint Robinson,1B,LF3,7623,Clint Robinson,1B
424825,Coco Crisp,LF,CLE,Cleveland Indians,S,R,1979,1084,crispco01,Coco Crisp,292449,Coco Crisp,LF,5299,Coco Crisp,LF,1572,Coco Crisp,OF,crispco01,6983,Coco Crisp,CF,crisc001,Coco Crisp,20020815,6983,Coco Crisp,LF,,12818,Coco Crisp,OF
592102,Cody Allen,P,CLE,Cleveland Indians,R,R,1988,68494,allenco01,Cody Allen,1953416,Cody Allen,RP,32188,Cody Allen,RP,12183,Cody Allen,P,allenco01,9243,Cody Allen,P,allec002,Cody Allen,20120720,9243,Cody Allen,RP,RP1,18205,Cody Allen,RP
594736,Cody Anderson,P,CLE,Cleveland Indians,R,R,1990,68741,anderco01,Cody Anderson,2116982,Cody Anderson,RP,33183,Cody Anderson,RP,12799,Cody Anderson,P,anderco01,10004,Cody Anderson,P,andec002,Cody Anderson,20150621,10004,Cody Anderson,SP,SP7,18478,Cody Anderson,SP/RP
605125,Cody Asche,DH,CWS,Chicago White Sox,L,R,1990,69512,ascheco01,Cody Asche,2039891,Cody Asche,DH,32637,Cody Asche,DH,11997,Cody Asche,3B/OF,ascheco01,9477,Cody Asche,LF,aschc001,Cody Asche,20130730,9477,Cody Asche,3B,,18217,Cody Asche,OF
641355,Cody Bellinger,1B,LAD,Los Angeles Dodgers,L,L,1995,102519,bellico01,Cody Bellinger,2165919,Cody Bellinger,1B,33912,Cody Bellinger,1B,15998,Cody Bellinger,1B/OF,,10504,Cody Bellinger,LF,,,20170425,10504,Cody Bellinger,1B,,19328,Cody Bellinger,1B/OF
572804,Cody Decker,1B,KC,Kansas City Royals,R,R,1987,60211,deckeco01,Cody Decker,2048272,Cody Decker,1B,31562,Cody Decker,1B,9665,Cody Decker,1B,deckeco01,10089,Cody Decker,1B,deckc001,Cody Decker,20150914,10089,Cody Decker,1B,,4810,Cody Decker,1B
643297,Cody Ege,P,LAA,Los Angeles Angels,L,L,1991,103360,egeco01,Cody Ege,2121101,Cody Ege,RP,33488,Cody Ege,RP,15928,Cody Ege,P,egeco01,10276,Cody Ege,P,ege-c001,Cody Ege,20160423,10276,Cody Ege,RP,,19469,Cody Ege,RP
543136,Cody Eppley,P,NYY,New York Yankees,R,R,1985,57821,eppleco01,Cody Eppley,1798563,Cody Eppley,RP,31078,Cody Eppley,RP,9095,Cody Eppley,P,eppleco01,8911,Cody Eppley,P,epplc001,Cody Eppley,20110423,8911,Cody Eppley,RP,,4442,Cody Eppley,RP
595235,Cody Hall,P,MIA,Miami Marlins,R,R,1988,68880,hallco01,Cody Hall,2121073,Cody Hall,RP,33655,Cody Hall,RP,12232,Cody Hall,P,hallco01,10079,Cody Hall,P,hallc001,Cody Hall,20150903,10079,Cody Hall,RP,,,,
592533,Cody Martin,P,SEA,Seattle Mariners,R,R,1989,68622,martico01,Cody Martin,2053478,Cody Martin,SP,33135,Cody Martin,SP,12182,Cody Martin,P,martico01,9920,Cody Martin,P,martc008,Cody Martin,20150407,9920,Cody Martin,RP,,18446,Cody Martin,RP
285068,Cody Ransom,3B,CHC,Chicago Cubs,R,R,1976,17546,ransoco01,Cody Ransom,128920,Cody Ransom,SS,4945,Cody Ransom,SS,1126,Cody Ransom,3B/SS,ransoco01,6796,Cody Ransom,3B,ransc001,Cody Ransom,20010905,6796,Cody Ransom,3B/SS,,527,Cody Ransom,Util
642003,Cody Reed,P,CIN,Cincinnati Reds,L,L,1993,102719,reedco01,Cody Reed,2066813,Cody Reed,RP,34884,Cody Reed,RP,15232,Cody Reed,P,reedco01,10288,Cody Reed,P,reedc002,Cody Reed,20160618,10288,Cody Reed,SP,RP7,19259,Cody Reed,SP
425496,Cody Ross,RF,OAK,Oakland Athletics,R,L,1980,31746,rossco01,Cody Ross,181896,Cody Ross,RF,5404,Cody Ross,RF,1760,Cody Ross,OF,rossco01,7053,Cody Ross,RF,rossc001,Cody Ross,20030704,7053,Cody Ross,RF/LF,,7070,Cody Ross,Util
592774,Cody Stanley,C,STL,St. Louis Cardinals,L,R,1988,67127,stanlco01,Cody Stanley,1937343,Cody Stanley,C,31906,Cody Stanley,C,10838,Cody Stanley,C,stanlco01,9945,Cody Stanley,C,stanc002,Cody Stanley,20150426,9945,Cody Stanley,C,,14317,Cody Stanley,Util
407890,Colby Lewis,P,TEX,Texas Rangers,R,R,1979,1275,lewisco01,Colby Lewis,284621,Colby Lewis,SP,5067,Colby Lewis,SP,1259,Colby Lewis,P,lewisco01,6893,Colby Lewis,P,lewic001,Colby Lewis,20020401,6893,Colby Lewis,SP,,1038,Colby Lewis,SP
458675,Colby Rasmus,LF,TB,Tampa Bay Rays,L,L,1986,46522,rasmuco01,Colby Rasmus,1184596,Colby Rasmus,LF,28973,Colby Rasmus,LF,9893,Colby Rasmus,OF,rasmuco01,8190,Colby Rasmus,LF,rasmc001,Colby Rasmus,20090407,8190,Colby Rasmus,LF,LF1,1464,Colby Rasmus,OF
502676,Cole Figueroa,2B,MIA,Miami Marlins,L,R,1987,57837,figueco01,Cole Figueroa,1740930,Cole Figueroa,2B,30662,Cole Figueroa,2B,8790,Cole Figueroa,2B,figueco01,9705,Cole Figueroa,3B,figuc001,Cole Figueroa,20140516,9705,Cole Figueroa,3B,,17866,Cole Figueroa,2B/OF
502261,Cole Gillespie,CF,MIA,Miami Marlins,R,R,1984,50209,gilleco01,Cole Gillespie,1208655,Cole Gillespie,RF,29409,Cole Gillespie,RF,5888,Cole Gillespie,OF,gilleco01,8678,Cole Gillespie,LF,gillc002,Cole Gillespie,20100421,8678,Cole Gillespie,LF,,1684,Cole Gillespie,OF
430935,Cole Hamels,P,TEX,Texas Rangers,L,L,1983,45534,hamelco01,Cole Hamels,479065,Cole Hamels,SP,6216,Cole Hamels,SP,4972,Cole Hamels,P,hamelco01,7509,Cole Hamels,P,hamec001,Cole Hamels,20060512,7509,Cole Hamels,SP,SP1,15286,Cole Hamels,SP
592567,Colin Moran,3B,HOU,Houston Astros,L,R,1992,102040,moranco01,Colin Moran,2070065,Colin Moran,3B,33200,Colin Moran,3B,16909,Colin Moran,3B,moranco01,9587,Colin Moran,3B,morac001,Colin Moran,20160518,9587,Colin Moran,3B,1B2,18247,Colin Moran,3B
607067,Colin Rea,P,SD,San Diego Padres,R,R,1990,69856,reaco01,Colin Rea,2170141,Colin Rea,SP,33950,Colin Rea,SP,12317,Colin Rea,P,reaco01,10048,Colin Rea,P,rea-c001,Colin Rea,20150811,10048,Colin Rea,SP,,18524,Colin Rea,SP
595023,Colin Walsh,3B,MIL,Milwaukee Brewers,S,R,1989,67884,walshco02,Colin Walsh,2171839,Colin Walsh,3B,34296,Colin Walsh,3B,10961,Colin Walsh,3B,walshco02,10254,Colin Walsh,3B,walsc001,Colin Walsh,20160404,10254,Colin Walsh,3B,,14318,Colin Walsh,2B/SS/3B/OF
444446,Collin Balester,P,CIN,Cincinnati Reds,R,R,1986,45673,balesco01,Collin Balester,1262856,Collin Balester,RP,28967,Collin Balester,RP,6883,Collin Balester,P,balesco01,8184,Collin Balester,P,balec001,Collin Balester,20080701,8184,Collin Balester,RP,,1356,Collin Balester,RP
518577,Collin Cowgill,RF,CLE,Cleveland Indians,R,L,1986,57755,cowgico01,Collin Cowgill,1667421,Collin Cowgill,RF,30485,Collin Cowgill,RF,7250,Collin Cowgill,OF,cowgico01,8968,Collin Cowgill,RF,cowgc001,Collin Cowgill,20110726,8968,Collin Cowgill,LF,,5303,Collin Cowgill,OF
543521,Collin McHugh,P,HOU,Houston Astros,R,R,1987,58441,mchugco01,Collin McHugh,2008572,Collin McHugh,SP,32569,Collin McHugh,SP,7531,Collin McHugh,P,mchugco01,9275,Collin McHugh,P,mchuc001,Collin McHugh,20120823,9275,Collin McHugh,SP,SP2,8577,Collin McHugh,SP
518833,Colt Hynes,P,CLE,Cleveland Indians,L,L,1985,56482,hynesco01,Colt Hynes,1793609,Colt Hynes,RP,31565,Colt Hynes,RP,7560,Colt Hynes,P,hynesco01,9464,Colt Hynes,P,hynec001,Colt Hynes,20130714,9464,Colt Hynes,RP,,4804,Colt Hynes,RP
605396,Colton Murray,P,PHI,Philadelphia Phillies,R,R,1990,69560,murraco02,Colton Murray,1961536,Colton Murray,RP,32435,Colton Murray,RP,12264,Colton Murray,P,murraco01,10067,Colton Murray,P,murrc002,Colton Murray,20150902,10067,Colton Murray,RP,,,,
592712,Connor Sadzeck,P,TEX,Texas Rangers,R,R,1991,68671,,,2118802,Connor Sadzeck,SP,34877,Connor Sadzeck,SP,sa550247,Connor Sadzeck,,,10615,Connor Sadzeck,P,,,22220202,10615,Connor Sadzeck,SP,,23668,Connor Sadzeck,SP
543216,Conor Gillaspie,3B,SF,San Francisco Giants,L,R,1987,57748,gillaco01,Conor Gillaspie,1639054,Conor Gillaspie,3B,29263,Conor Gillaspie,3B,9009,Conor Gillaspie,3B,gillaco01,8378,Conor Gillaspie,3B,gillc001,Conor Gillaspie,20080909,8378,Conor Gillaspie,3B,1B3,5072,Conor Gillaspie,3B
571969,Conor Mullee,P,CHC,Chicago Cubs,R,R,1988,66572,mulleco01,Conor Mullee,2227899,Conor Mullee,RP,35738,Conor Mullee,RP,11580,Conor Mullee,P,mulleco01,10292,Conor Mullee,P,mullc001,Conor Mullee,20160516,10292,Conor Mullee,RP,,14075,Conor Mullee,RP
543377,Corban Joseph,2B,NYY,New York Yankees,L,R,1988,58329,josepco01,Corban Joseph,1806048,Corban Joseph,2B,31250,Corban Joseph,2B,5503,Corban Joseph,1B/2B,josepco01,9387,Corban Joseph,2B,josec001,Corban Joseph,20130513,9387,Corban Joseph,2B,,4414,Corban Joseph,2B
543647,Cord Phelps,3B,BAL,Baltimore Orioles,S,R,1987,58541,phelpco01,Cord Phelps,1740990,Cord Phelps,2B,30823,Cord Phelps,2B,8631,Cord Phelps,2B/DH,phelpco01,8959,Cord Phelps,2B,phelc001,Cord Phelps,20110608,8959,Cord Phelps,2B,,17191,Cord Phelps,Util
446395,Corey Brown,CF,BOS,Boston Red Sox,L,L,1985,55635,brownco01,Corey Brown,1602160,Corey Brown,CF,30629,Corey Brown,CF,2650,Corey Brown,OF,brownco01,9077,Corey Brown,LF,browc003,Corey Brown,20110906,9077,Corey Brown,LF/CF,,6837,Corey Brown,OF
572816,Corey Dickerson,LF,TB,Tampa Bay Rays,L,R,1989,66638,dickeco01,Corey Dickerson,2041486,Corey Dickerson,LF,31684,Corey Dickerson,LF,10762,Corey Dickerson,OF,dickeco01,9438,Corey Dickerson,LF,dickc002,Corey Dickerson,20130622,9438,Corey Dickerson,LF,LF3,13999,Corey Dickerson,OF
430611,Corey Hart,1B,PIT,Pittsburgh Pirates,R,R,1982,31370,hartco01,Corey Hart,448407,Corey Hart,1B,5973,Corey Hart,1B,1945,Corey Hart,OF,hartco01,7336,Corey Hart,RF,hartc001,Corey Hart,20040525,7336,Corey Hart,RF/1B,,12596,Corey Hart,Util
446372,Corey Kluber,P,CLE,Cleveland Indians,R,R,1986,57424,klubeco01,Corey Kluber,1759018,Corey Kluber,SP,30981,Corey Kluber,SP,2429,Corey Kluber,P,klubeco01,9048,Corey Kluber,P,klubc001,Corey Kluber,20110901,9048,Corey Kluber,SP,SP1,6965,Corey Kluber,SP
608349,Corey Knebel,P,MIL,Milwaukee Brewers,R,R,1991,70620,knebeco01,Corey Knebel,2066314,Corey Knebel,RP,33206,Corey Knebel,RP,15010,Corey Knebel,P,knebeco01,9712,Corey Knebel,P,knebc001,Corey Knebel,20140524,9712,Corey Knebel,RP,RP6,18296,Corey Knebel,RP
608369,Corey Seager,SS,LAD,Los Angeles Dodgers,L,R,1994,70635,seageco01,Corey Seager,2041873,Corey Seager,SS,32691,Corey Seager,SS,13624,Corey Seager,SS,seageco01,9584,Corey Seager,SS,seagc001,Corey Seager,20150903,9584,Corey Seager,SS,SS1,18216,Corey Seager,SS
280061,Corky Miller,C,CIN,Cincinnati Reds,R,R,1976,790,milleco01,Corky Miller,174722,Corky Miller,C,4951,Corky Miller,C,342,Corky Miller,,milleco01,6799,Corky Miller,C,millc001,Corky Miller,20010904,6799,Corky Miller,C,,3415,Corky Miller,Util
451132,Cory Burns,P,TOR,Toronto Blue Jays,R,R,1987,59165,burnsco01,Cory Burns,1946292,Cory Burns,RP,31689,Cory Burns,RP,6620,Cory Burns,P,burnsco01,9256,Cory Burns,P,burnc001,Cory Burns,20120804,9256,Cory Burns,RP,,5966,Cory Burns,RP
518715,Cory Gearrin,P,SF,San Francisco Giants,R,R,1986,56333,gearrco01,Cory Gearrin,1740938,Cory Gearrin,RP,30665,Cory Gearrin,RP,7947,Cory Gearrin,P,gearrco01,8910,Cory Gearrin,P,gearc001,Cory Gearrin,20110425,8910,Cory Gearrin,RP,RP6,5679,Cory Gearrin,RP
458537,Cory Luebke,P,PIT,Pittsburgh Pirates,R,L,1985,54103,luebkco01,Cory Luebke,1717006,Cory Luebke,RP,30580,Cory Luebke,RP,1984,Cory Luebke,P,luebkco01,8778,Cory Luebke,P,luebc001,Cory Luebke,20100903,8778,Cory Luebke,RP,,6875,Cory Luebke,RP
543508,Cory Mazzoni,P,SD,San Diego Padres,R,R,1989,70316,mazzoco01,Cory Mazzoni,2038823,Cory Mazzoni,SP,32629,Cory Mazzoni,SP,12537,Cory Mazzoni,P,mazzoco01,9946,Cory Mazzoni,P,mazzc001,Cory Mazzoni,20150427,9946,Cory Mazzoni,RP,,,,
474284,Cory Rasmus,P,LAA,Los Angeles Angels,R,R,1987,49758,rasmuco02,Cory Rasmus,2027392,Cory Rasmus,RP,31984,Cory Rasmus,RP,2413,Cory Rasmus,P,rasmuco02,9400,Cory Rasmus,P,rasmc002,Cory Rasmus,20130522,9400,Cory Rasmus,RP,,5743,Cory Rasmus,RP
605486,Cory Spangenberg,3B,SD,San Diego Padres,L,R,1991,69578,spangco01,Cory Spangenberg,1846231,Cory Spangenberg,3B,32169,Cory Spangenberg,3B,12294,Cory Spangenberg,2B/3B,spangco01,9102,Cory Spangenberg,2B,spanc001,Cory Spangenberg,20140901,9102,Cory Spangenberg,2B,2B2,18108,Cory Spangenberg,2B/3B/OF
460677,Cory Wade,P,TOR,Toronto Blue Jays,R,R,1983,48996,wadeco01,Cory Wade,1402915,Cory Wade,RP,29110,Cory Wade,RP,7570,Cory Wade,P,wadeco01,8228,Cory Wade,P,wadec001,Cory Wade,20080424,8228,Cory Wade,RP,,1875,Cory Wade,RP
444520,Craig Breslow,P,CLE,Cleveland Indians,L,L,1980,33059,breslcr01,Craig Breslow,557093,Craig Breslow,RP,6365,Craig Breslow,RP,4363,Craig Breslow,P,breslcr01,7610,Craig Breslow,P,bresc001,Craig Breslow,20050723,7610,Craig Breslow,RP,,847,Craig Breslow,RP
502226,Craig Gentry,LF,BAL,Baltimore Orioles,R,R,1983,50191,gentrcr01,Craig Gentry,1665405,Craig Gentry,RF,30267,Craig Gentry,RF,9571,Craig Gentry,OF,gentrcr01,8574,Craig Gentry,LF,gentc001,Craig Gentry,20090906,8574,Craig Gentry,LF,,2902,Craig Gentry,OF
518886,Craig Kimbrel,P,BOS,Boston Red Sox,R,R,1988,58350,kimbrcr01,Craig Kimbrel,1718083,Craig Kimbrel,RP,30653,Craig Kimbrel,RP,6655,Craig Kimbrel,P,kimbrcr01,8622,Craig Kimbrel,P,kimbc001,Craig Kimbrel,20100507,8622,Craig Kimbrel,RP,RP1,5677,Craig Kimbrel,RP
