objectid,objectid_1,input_fid,near_fid,distance,distmet,distmiles,from_county,fromschoolnum,fromschool,fromlat,fromlon,tocounty,toschoolnum,toschoolname,tolat,tolon,tsid,fsid,tcoid,fcoid,copairid
315965,315965,723,283,.72668123,80762.625,50.183556,GILCHRIST,41,TRENTON ELEMENTARY SCHOOL,29.619484,-82.772064,CITRUS,35,CENTRAL RIDGE ELEMENTARY SCHOOL,28.974022,-82.438232,318,561,9,19,85
315963,315963,723,285,.74376917,82661.766,51.363621,GILCHRIST,41,TRENTON ELEMENTARY SCHOOL,29.619484,-82.772064,CITRUS,102,CRYSTAL RIVER PRIMARY SCHOOL,28.901682,-82.577248,320,561,9,19,85
315962,315962,723,286,.78625804,87383.93,54.29784,GILCHRIST,41,TRENTON ELEMENTARY SCHOOL,29.619484,-82.772064,CITRUS,25,FOREST RIDGE ELEMENTARY SCHOOL,28.9048,-82.444298,321,561,9,19,85
330411,330411,746,288,.2538859,28216.625,17.532993,HERNANDO,252,PINE GROVE ELEMENTARY SCHOOL,28.564104,-82.485168,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,28.782387,-82.61483,323,583,9,25,86
330414,330414,746,290,.25524145,28367.281,17.626606,HERNANDO,252,PINE GROVE ELEMENTARY SCHOOL,28.564104,-82.485168,CITRUS,161,LECANTO PRIMARY SCHOOL,28.819115,-82.496063,325,583,9,25,86
143976,143976,290,746,.25524145,28367.281,17.626606,CITRUS,161,LECANTO PRIMARY SCHOOL,28.819115,-82.496063,HERNANDO,252,PINE GROVE ELEMENTARY SCHOOL,28.564104,-82.485168,584,324,25,9,86
325698,325698,740,291,.26051474,28953.348,17.99077,HERNANDO,52,BROOKSVILLE ELEMENTARY SCHOOL,28.564796,-82.375557,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,326,578,9,25,86
144763,144763,291,740,.26051474,28953.348,17.99077,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,HERNANDO,52,BROOKSVILLE ELEMENTARY SCHOOL,28.564796,-82.375557,578,318,25,9,86
142319,142319,288,848,.63137066,70169.906,43.601543,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,28.782387,-82.61483,HILLSBOROUGH,3082,MCKITRICK ELEMENTARY SCHOOL,28.156567,-82.531296,686,322,27,9,87
142316,142316,288,876,.6531437,72589.742,45.10516,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,28.782387,-82.61483,HILLSBOROUGH,3861,SCHWARZKOPF ELEMENTARY SCHOOL,28.138498,-82.505257,714,322,27,9,87
428325,428325,876,288,.6531437,72589.742,45.10516,HILLSBOROUGH,3861,SCHWARZKOPF ELEMENTARY SCHOOL,28.138498,-82.505257,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,28.782387,-82.61483,323,713,9,27,87
142321,142321,288,842,.65409559,72695.531,45.170895,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,28.782387,-82.61483,HILLSBOROUGH,2561,LUTZ ELEMENTARY SCHOOL,28.147127,-82.458984,680,322,27,9,87
143903,143903,290,848,.6634841,73738.961,45.819252,CITRUS,161,LECANTO PRIMARY SCHOOL,28.819115,-82.496063,HILLSBOROUGH,3082,MCKITRICK ELEMENTARY SCHOOL,28.156567,-82.531296,686,324,27,9,87
143313,143313,289,957,.41383725,45993.461,28.579002,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,LAKE,119,THE VILLAGES ELEM OF LADY LAKE,28.929787,-81.934799,795,320,32,9,88
476812,476812,951,289,.41819346,46477.605,28.879835,LAKE,421,RIMES EARLY LEARN & LITERACY,28.825911,-81.91909,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,324,790,9,32,88
469777,469777,943,289,.42869768,47645.031,29.605242,LAKE,101,FRUITLAND PARK ELEM. SCHOOL,28.861044,-81.909424,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,324,781,9,32,88
481893,481893,957,291,.42880994,47657.508,29.612993,LAKE,119,THE VILLAGES ELEM OF LADY LAKE,28.929787,-81.934799,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,326,782,9,32,88
