female,white,age,ideology,newsdays,bush,obama,mccain,clinton,limbaugh
1,1,37,4,0,0,40,0,70,50
0,1,51,5,7,70,30,85,15,50
0,1,49,4,7,30,60,50,40,15
1,1,49,4,3,60,60,85,60,30
0,1,61,5,2,70,40,85,30,50
0,1,83,4,7,0,50,50,50,0
0,1,46,5,0,60,70,70,30,0
1,1,51,6,7,85,0,85,15,40
0,1,70,3,7,30,70,60,70,0
0,1,32,5,1,60,40,85,30,15
0,1,36,3,7,40,80,78,95,50
0,1,49,5,7,70,40,85,30,50
0,1,51,5,7,60,0,70,15,15
1,1,45,2,7,40,100,40,70,0
1,1,47,7,1,40,60,50,15,50
1,0,43,2,7,40,70,60,70,15
0,1,60,5,4,60,30,85,30,15
0,1,25,2,3,0,75,50,90,20
1,1,72,4,7,60,50,60,60,50
1,1,30,4,2,60,85,60,85,40
1,1,59,2,7,15,85,15,70,0
0,1,18,4,3,30,100,15,85,50
1,1,28,4,7,70,30,60,50,85
0,1,33,5,0,30,0,50,0,60
0,0,40,4,1,60,15,60,60,50
1,1,38,4,2,40,100,50,100,50
0,1,58,4,5,50,50,50,50,50
0,1,78,7,2,0,0,0,0,60
0,0,29,2,7,15,100,50,85,0
0,1,43,5,0,70,50,50,100,40
0,1,45,5,7,50,50,85,100,30
0,1,50,4,7,50,70,50,70,50
1,1,55,6,5,70,50,70,50,40
0,1,21,7,0,100,0,70,0,50
1,1,68,3,5,0,70,30,60,0
0,1,54,4,7,50,50,50,50,50
0,1,55,5,0,30,70,40,60,40
0,1,21,7,2,100,0,100,0,100
1,1,40,5,0,60,15,60,0,85
1,1,52,7,0,100,50,80,50,100
1,1,65,6,7,70,30,70,30,70
1,0,53,5,1,50,40,60,60,50
0,1,77,6,7,70,0,70,0,50
1,0,26,2,5,0,85,15,85,30
0,1,50,4,7,0,85,30,30,0
0,1,22,4,2,0,50,30,40,15
0,0,38,3,7,15,85,40,85,0
0,0,45,4,1,15,85,60,50,15
1,1,35,5,1,60,50,60,50,60
1,1,53,6,3,70,40,70,15,50
0,1,64,4,6,0,100,40,50,0
0,1,52,3,5,0,55,25,85,0
0,1,75,7,5,70,15,85,0,85
0,0,39,2,7,40,100,50,85,0
1,0,44,5,2,0,85,40,85,50
0,1,60,6,7,50,60,60,60,70
1,1,53,4,6,0,60,50,100,40
0,1,53,6,0,40,50,50,60,50
0,1,43,6,7,50,70,40,15,30
1,1,55,6,7,60,0,100,15,85
0,1,39,4,7,15,60,15,100,50
1,1,41,5,0,0,60,15,85,0
0,0,23,3,2,0,75,15,70,77
0,0,39,6,3,0,40,30,0,0
1,0,26,4,7,15,85,30,100,50
1,0,23,2,7,15,85,50,100,0
1,1,45,2,5,40,85,40,70,15
1,1,29,5,3,65,50,75,80,65
1,1,50,4,5,75,25,85,75,80
0,1,48,7,5,70,30,85,60,85
1,1,49,2,7,40,50,40,100,30
