annualGrammy,category,awardType,awardFor,name
39,Best Opera Recording,Individual,Britten: Peter Grimes,Britten: Peter Grimes
39,Best Choral Performance,Individual,Walton: Belshazzar's Feast,Walton: Belshazzar's Feast
39,Best Instrumental Soloist(s) Performance (With Orchestra),Individual,Bartók: The Three Piano Concertos,Bartók: The Three Piano Concertos
39,Best Instrumental Soloist Performance (Without Orchestra),Individual,"The Romantic Master - Works Of Saint-Saens, Handel","The Romantic Master - Works Of Saint-Saens, Handel"
39,Best Chamber Music Performance,Individual,Corigliano: String Quartet,Corigliano: String Quartet
39,Best Small Ensemble Performance (With Or Without Conductor),Work,Boulez: ...Explosante-Fixe...,Pierre Boulez
39,Best Classical Vocal Performance,Individual,"Opera Arias - Works Of Mozart, Wagner, Borodin","Opera Arias - Works Of Mozart, Wagner, Borodin"
39,Best Classical Contemporary Composition,Individual,Corigliano: String Quartet,Corigliano: String Quartet
39,"Best Music Video, Short Form",Work,Free As A Bird,The Beatles
39,"Best Music Video, Long Form",Work,The Beatles Anthology,The Beatles
40,Record Of The Year,Individual,Sunny Came Home,Sunny Came Home
40,Album Of The Year,Work,Time Out Of Mind,Bob Dylan
40,Song Of The Year,Individual,Sunny Came Home,Sunny Came Home
40,Best New Artist,Individual,Paula Cole,Paula Cole
40,Best Female Pop Vocal Performance,Individual,Building A Mystery,Building A Mystery
40,Best Male Pop Vocal Performance,Work,Candle In The Wind 1997,Elton John
40,Best Pop Performance By A Duo Or Group With Vocal,Individual,Virtual Insanity,Virtual Insanity
40,Best Pop Collaboration With Vocals,Individual,Don't Look Back,Don't Look Back
40,Best Pop Instrumental Performance,Individual,Last Dance,Last Dance
40,Best Dance Recording,Individual,Carry On,Carry On
40,Best Pop Album,Work,Hourglass,James Taylor
40,Best Traditional Pop Vocal Performance,Work,Tony Bennett On Holiday,Tony Bennett
40,Best Female Rock Vocal Performance,Individual,Criminal,Criminal
40,Best Male Rock Vocal Performance,Work,Cold Irons Bound,Bob Dylan
40,Best Rock Performance By A Duo Or Group With Vocal,Individual,One Headlight,One Headlight
40,Best Hard Rock Performance,Individual,The End Is The Beginning Is The End,The End Is The Beginning Is The End
40,Best Metal Performance,Individual,Aenema,Aenema
40,Best Rock Instrumental Performance,Individual,Block Rockin' Beats,Block Rockin' Beats
40,Best Rock Song,Individual,One Headlight,One Headlight
40,Best Rock Album,Individual,Blue Moon Swamp,Blue Moon Swamp
40,Best Alternative Music Performance,Work,Ok Computer,Radiohead
40,Best Female R&B Vocal Performance,Individual,On & On,On & On
40,Best Male R&B Vocal Performance,Individual,I Believe I Can Fly,I Believe I Can Fly
40,Best R&B Performance By A Duo Or Group With Vocal,Individual,No Diggity,No Diggity
40,Best Rhythm & Blues Song,Individual,I Believe I Can Fly,I Believe I Can Fly
40,Best R&B Album,Individual,Baduizm,Baduizm
40,Best Rap Solo Performance,Individual,Men In Black,Men In Black
40,Best Rap Performance By A Duo Or Group,Individual,I'll Be Missing You,I'll Be Missing You
40,Best Rap Album,Individual,No Way Out,No Way Out
40,Best Female Country Vocal Performance,Individual,How Do I Live,How Do I Live
40,Best Male Country Vocal Performance,Work,Pretty Little Adriana,Vince Gill
40,Best Country Performance By A Duo Or Group With Vocal,Work,Looking In The Eyes Of Love,Alison Krauss
40,Best Country Collaboration With Vocals,Individual,In Another's Eyes,In Another's Eyes
40,Best Country Instrumental Performance,Work,Little Liza Jane,Alison Krauss
40,Best Country Song,Individual,Butterfly Kisses,Butterfly Kisses
40,Best Country Album,Individual,Unchained,Unchained
40,Best Bluegrass Album,Work,So Long So Wrong,Alison Krauss
40,Best New Age Album,Individual,Oracle,Oracle
40,Best Contemporary Jazz Performance,Individual,Into The Sun,Into The Sun
40,Best Jazz Vocal Performance,Individual,Dear Ella,Dear Ella
40,Best Jazz Instrumental Solo,Individual,Stardust,Stardust
40,"Best Jazz Instrumental Performance, Individual Or Group",Work,Beyond The Missouri Sky,Pat Metheny
40,Best Large Jazz Ensemble Performance,Individual,Joe Henderson Big Band,Joe Henderson Big Band
40,Best Latin Jazz Performance,Individual,Habana,Habana
40,Best Rock Gospel Album,Individual,Welcome To The Freak Show - dc Talk Live In Concert,Welcome To The Freak Show - dc Talk Live In Concert
40,Best Pop/Contemporary Gospel Album,Individual,Much Afraid,Much Afraid
40,"Best Southern, Country Or Bluegrass Gospel Album",Individual,Amazing Grace 2 - A Country Salute To Gospel,Amazing Grace 2 - A Country Salute To Gospel
40,Best Traditional Soul Gospel Album,Individual,I Couldn't Hear Nobody Pray,I Couldn't Hear Nobody Pray
40,Best Contemporary Soul Gospel Album,Individual,Brothers,Brothers
40,Best Gospel Choir Or Chorus Album,Individual,God's Property From Kirk Franklin's Nu Nation,God's Property From Kirk Franklin's Nu Nation
40,Best Latin Pop Performance,Individual,Romances,Romances
40,Best Latin Rock/Alternative Performance,Individual,Fabulosos Calavera,Fabulosos Calavera
40,Best Tropical Latin Performance,Individual,Buena Vista Social Club,Buena Vista Social Club
40,Best Mexican-American/Tejano Music Performance,Individual,En Tus Manos,En Tus Manos
40,Best Traditional Blues Album,Individual,Don't Look Back,Don't Look Back
40,Best Contemporary Blues Album,Individual,Señor Blues,Señor Blues
40,Best Traditional Folk Album,Individual,L'amour Ou La Folie,L'amour Ou La Folie
40,Best Contemporary Folk Album,Work,Time Out Of Mind,Bob Dylan
40,Best Reggae Album,Work,Fallen Is Babylon,Ziggy Marley
40,Best World Music Album,Individual,Nascimento,Nascimento
40,Best Polka Album,Work,Living On Polka Time,Jimmy Sturr
40,Best Musical Album For Children,Individual,All Aboard!,All Aboard!
40,Best Spoken Word Album For Children,Individual,Winnie-The-Pooh,Winnie-The-Pooh
40,Best Spoken Word Album,Individual,Charles Kuralt's Spring,Charles Kuralt's Spring
40,Best Spoken Comedy Album,Individual,Roll With The New,Roll With The New
40,Best Musical Show Album,Individual,Chicago - The Musical,Chicago - The Musical
40,Best Instrumental Composition,Individual,Aung San Suu Kyi,Aung San Suu Kyi
40,Best Instrumental Composition Written For A Motion Picture Or For Television,Individual,The English Patient,The English Patient
40,Best Song Written Specifically For A Motion Picture Or For Television,Individual,I Believe I Can Fly (From Space Jam),I Believe I Can Fly (From Space Jam)
40,Best Instrumental Arrangement,Individual,"Straight, No Chaser","Straight, No Chaser"
40,Best Instrumental Arrangement Accompanying Vocal(s),Individual,Cotton Tail,Cotton Tail
40,Best Recording Package,Individual,Titanic - Music As Heard On The Fateful Voyage,Titanic - Music As Heard On The Fateful Voyage
40,Best Boxed Recording Package,Individual,Beg Scream And Shout! - The Big Ol' Box Of '60s Soul,Beg Scream And Shout! - The Big Ol' Box Of '60s Soul
40,Best Album Notes,Individual,Anthology Of American Folk Music -  1997 Expanded Edition,Anthology Of American Folk Music -  1997 Expanded Edition
40,Best Historical Album,Individual,Anthology Of American Folk Music - 1997 Expanded Edition,Anthology Of American Folk Music - 1997 Expanded Edition
40,Best Engineered Album - Non-Classical,Individual,Hourglass,Hourglass
40,"Producer Of The Year, Non-Classical",Work,Babyface,Babyface
40,"Remixer Of The Year, Non-Classical",Individual,,
40,"Best Engineered Album, Classical",Individual,Copland: The Music Of America (Fanfare For The Common Man; Rodeo),Copland: The Music Of America (Fanfare For The Common Man; Rodeo)
40,"Producer Of The Year, Classical",Individual,Steven Epstein,Steven Epstein
40,Best Classical Album,Work,"Premieres - Cello Concertos (Works Of Danielpour, Kirchner, Rouse)",Yo-Yo Ma
40,Best Orchestral Performance,Work,Berlioz: Symphonie Fantastique; Tristia,Pierre Boulez
40,Best Opera Recording,Work,Wagner: Die Meistersinger Von Nurnberg,Georg Solti
40,Best Choral Performance,Individual,Adams: Harmonium/Rachmaninoff: The Bells,Adams: Harmonium/Rachmaninoff: The Bells
40,Best Instrumental Soloist(s) Performance (With Orchestra),Work,"Premieres - Cello Concertos (Works Of Danielpour, Kirchner, Rouse)",Yo-Yo Ma
40,Best Instrumental Soloist Performance (Without Orchestra),Individual,Bach: Suites For Solo Cello Nos. 1-6,Bach: Suites For Solo Cello Nos. 1-6
40,Best Chamber Music Performance,Individual,Beethoven: The String Quartets,Beethoven: The String Quartets
40,Best Small Ensemble Performance (With Or Without Conductor),Individual,"Hindemith: Kammermusik No. 1 With Finale 1921, Op. 24 No. 1","Hindemith: Kammermusik No. 1 With Finale 1921, Op. 24 No. 1"
40,Best Classical Vocal Performance,Individual,"An Italian Songbook - Works Of Bellini, Donizetti, Rossini","An Italian Songbook - Works Of Bellini, Donizetti, Rossini"
40,Best Classical Contemporary Composition,Individual,Adams: El Dorado,Adams: El Dorado
40,Best Short Form Music Video,Individual,Got 'Till It's Gone,Got 'Till It's Gone
40,Best Long Form Music Video,Individual,Jagged Little Pill - Live,Jagged Little Pill - Live
41,Record Of The Year,Individual,My Heart Will Go On (Love Theme From Titanic),My Heart Will Go On (Love Theme From Titanic)
41,Album Of The Year,Individual,The Miseducation Of Lauryn Hill,The Miseducation Of Lauryn Hill
41,Song Of The Year,Individual,My Heart Will Go On (Love Theme From Titanic),My Heart Will Go On (Love Theme From Titanic)
41,Best New Artist,Individual,Lauryn Hill,Lauryn Hill
41,Best Female Pop Vocal Performance,Individual,My Heart Will Go On (Love Theme From Titanic),My Heart Will Go On (Love Theme From Titanic)
41,Best Male Pop Vocal Performance,Work,My Father's Eyes,Eric Clapton
41,Best Pop Performance By A Duo Or Group With Vocal,Individual,Jump Jive An' Wail,Jump Jive An' Wail
41,Best Pop Collaboration With Vocals,Individual,I Still Have That Other Girl,I Still Have That Other Girl
41,Best Pop Instrumental Performance,Individual,Sleepwalk,Sleepwalk
41,Best Dance Recording,Work,Ray Of Light,Madonna
41,Best Pop Album,Work,Ray Of Light,Madonna
41,Best Traditional Pop Vocal Performance,Individual,Live At Carnegie Hall - The 50th Anniversary Concert,Live At Carnegie Hall - The 50th Anniversary Concert
41,Best Female Rock Vocal Performance,Individual,Uninvited,Uninvited
41,Best Male Rock Vocal Performance,Individual,Fly Away,Fly Away
41,Best Rock Performance By A Duo Or Group With Vocal,Work,Pink,Aerosmith
41,Best Hard Rock Performance,Individual,Most High,Most High
41,Best Metal Performance,Work,Better Than You,Metallica
41,Best Rock Instrumental Performance,Individual,The Roots Of Coincidence,The Roots Of Coincidence
41,Best Rock Song,Individual,Uninvited,Uninvited
41,Best Rock Album,Individual,The Globe Sessions,The Globe Sessions
41,Best Alternative Music Performance,Individual,Hello Nasty,Hello Nasty
41,Best Female R&B Vocal Performance,Individual,Doo Wop (That Thing),Doo Wop (That Thing)
41,Best Male R&B Vocal Performance,Work,St. Louis Blues,Stevie Wonder
41,Best R&B Performance By A Duo Or Group With Vocal,Individual,The Boy Is Mine,The Boy Is Mine
41,Best Rhythm & Blues Song,Individual,Doo Wop (That Thing),Doo Wop (That Thing)
41,Best R&B Album,Individual,The Miseducation Of Lauryn Hill,The Miseducation Of Lauryn Hill
41,Best Traditional R&B Vocal Performance,Individual,Live! - One Night Only,Live! - One Night Only
41,Best Rap Solo Performance,Individual,Gettin' Jiggy Wit It,Gettin' Jiggy Wit It
41,Best Rap Performance By A Duo Or Group,Individual,Intergalactic,Intergalactic
41,Best Rap Album,Work,Vol. 2...Hard Knock Life,Jay-Z
41,Best Female Country Vocal Performance,Individual,You're Still The One,You're Still The One
41,Best Male Country Vocal Performance,Work,If You Ever Have Forever In Mind,Vince Gill
41,Best Country Performance By A Duo Or Group With Vocal,Work,There's Your Trouble,Dixie Chicks
41,Best Country Collaboration With Vocals,Work,Same Old Train,Emmylou Harris
41,Best Country Instrumental Performance,Work,A Soldier's Joy,Vince Gill
41,Best Country Song,Individual,You're Still The One,You're Still The One
41,Best Country Album,Work,Wide Open Spaces,Dixie Chicks
41,Best Bluegrass Album,Individual,Bluegrass Rules!,Bluegrass Rules!
41,Best New Age Album,Individual,Landmarks,Landmarks
41,Best Contemporary Jazz Performance,Individual,Imaginary Day,Imaginary Day
41,Best Jazz Vocal Performance,Individual,I Remember Miles,I Remember Miles
41,Best Jazz Instrumental Solo,Work,Rhumbata,Chick Corea
41,"Best Jazz Instrumental Performance, Individual Or Group",Work,Gershwin's World,Herbie Hancock
41,Best Large Jazz Ensemble Performance,Individual,Count Plays Duke,Count Plays Duke
41,Best Latin Jazz Performance,Individual,Hot House,Hot House
41,Best Rock Gospel Album,Individual,You Are There,You Are There
41,Best Pop/Contemporary Gospel Album,Individual,This Is My Song,This Is My Song
41,"Best Southern, Country, Or Bluegrass Gospel Album",Individual,The Apostle - Soundtrack,The Apostle - Soundtrack
41,Best Traditional Soul Gospel Album,Individual,He Leadeth Me,He Leadeth Me
41,Best Contemporary Soul Gospel Album,Work,The Nu Nation Project,Kirk Franklin
41,Best Gospel Choir Or Chorus Album,Individual,Reflections,Reflections
41,Best Latin Pop Performance,Individual,Vuelve,Vuelve
41,Best Latin Rock/Alternative Performance,Individual,Sueños Liquidos,Sueños Liquidos
41,Best Tropical Latin Performance,Individual,Contra La Corriente,Contra La Corriente
41,Best Mexican-American Music Performance,Individual,Los Super Seven,Los Super Seven
41,Best Tejano Music Performance,Individual,Said And Done,Said And Done
41,Best Traditional Blues Album,Individual,Any Place I'm Going,Any Place I'm Going
41,Best Contemporary Blues Album,Individual,Slow Down,Slow Down
41,Best Traditional Folk Album,Individual,Long Journey Home,Long Journey Home
41,Best Contemporary Folk Album,Individual,Car Wheels On A Gravel Road,Car Wheels On A Gravel Road
41,Best Reggae Album,Individual,Friends,Friends
41,Best World Music Album,Individual,Quanta Live,Quanta Live
41,Best Polka Album,Work,Dance With Me,Jimmy Sturr
41,Best Musical Album For Children,Individual,Elmopalooza!,Elmopalooza!
41,Best Spoken Word Album For Children,Individual,The Children's Shakespeare,The Children's Shakespeare
41,Best Spoken Word Album,Individual,Still Me,Still Me
41,Best Spoken Comedy Album,Individual,The 2000 Year Old Man In The Year 2000,The 2000 Year Old Man In The Year 2000
41,Best Musical Show Album,Individual,The Lion King,The Lion King
41,Best Instrumental Composition,Work,Almost 12,Béla Fleck
41,Best Instrumental Composition Written For A Motion Picture Or For Television,Work,Saving Private Ryan,John Williams
41,Best Song Written For A Motion Picture Or For Television,Individual,My Heart Will Go On (Love Theme From Titanic),My Heart Will Go On (Love Theme From Titanic)
41,Best Instrumental Arrangement,Individual,Waltz For Debby,Waltz For Debby
41,Best Instrumental Arrangement Accompanying Vocal(s),Work,St. Louis Blues,Herbie Hancock
41,Best Recording Package,Individual,Ray Of Light,Ray Of Light
41,Best Boxed Recording Package,Individual,The Complete Hank Williams,The Complete Hank Williams
41,Best Album Notes,Individual,Miles Davis Quintet 1965-1968,Miles Davis Quintet 1965-1968
41,Best Historical Album,Individual,The Complete Hank Williams,The Complete Hank Williams
41,Best Engineered Album - Non-Classical,Individual,The Globe Sessions,The Globe Sessions
41,"Producer Of The Year, Non-Classical",Individual,Rob Cavallo,Rob Cavallo
41,"Remixer Of The Year, Non-classical",Individual,,
41,"Best Engineered Album, Classical",Individual,Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana,Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana
41,"Producer Of The Year, Classical",Individual,Steven Epstein,Steven Epstein
41,Best Classical Album,Individual,Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana,Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana
41,Best Orchestral Performance,Work,Mahler: Symphony No. 9,Pierre Boulez
41,Best Opera Recording,Work,Bartók: Bluebeard's Castle,Pierre Boulez
41,Best Choral Performance,Individual,Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana,Barber: Prayers Of Kierkegaard/Vaughan Williams: Dona Nobis Pacem/Bartok: Cantata Profana
41,Best Instrumental Soloist(s) Performance (With Orchestra),Individual,"Penderecki: Violin Concerto No. 2 ""Metamorphosen""","Penderecki: Violin Concerto No. 2 ""Metamorphosen"""
41,Best Instrumental Soloist Performance (Without Orchestra),Individual,"Bach: English Suites Nos. 1, 3 & 6","Bach: English Suites Nos. 1, 3 & 6"
41,Best Chamber Music Performance,Work,"American Scenes - Works Of Copland, Previn, Barber & Gershwin",André Previn
41,Best Small Ensemble Performance (With Or Without Conductor),Individual,Reich: Music For 18 Musicians,Reich: Music For 18 Musicians
41,Best Classical Vocal Performance,Individual,"The Beautiful Voice - Works Of Charpentier, Gounod, Massenet & Flotow","The Beautiful Voice - Works Of Charpentier, Gounod, Massenet & Flotow"
41,Best Classical Contemporary Composition,Individual,"Penderecki: Violin Concerto No. 2 ""Metamorphosen""","Penderecki: Violin Concerto No. 2 ""Metamorphosen"""
41,Best Classical Crossover Album,Work,Soul Of The Tango - The Music Of Astor Piazzolla,Yo-Yo Ma
41,Best Short Form Music Video,Work,Ray Of Light,Madonna
41,Best Long Form Music Video,Individual,American Masters - Lou Reed: Rock And Roll Heart,American Masters - Lou Reed: Rock And Roll Heart
42,Record Of The Year,Work,Smooth,Santana
42,Album Of The Year,Work,Supernatural,Santana
42,Song Of The Year,Individual,Smooth,Smooth
42,Best New Artist,Work,Christina Aguilera,Christina Aguilera
42,Best Female Pop Vocal Performance,Individual,I Will Remember You,I Will Remember You
42,Best Male Pop Vocal Performance,Work,Brand New Day,Sting
42,Best Pop Performance By A Duo Or Group With Vocal,Work,Maria Maria,Santana
42,Best Pop Collaboration With Vocals,Work,Smooth,Santana
42,Best Pop Instrumental Performance,Work,El Farol,Santana
42,Best Dance Recording,Individual,Believe,Believe
42,Best Pop Album,Work,Brand New Day,Sting
42,Best Traditional Pop Vocal Performance,Work,Bennett Sings Ellington - Hot & Cool,Tony Bennett
42,Best Female Rock Vocal Performance,Individual,Sweet Child O' Mine,Sweet Child O' Mine
42,Best Male Rock Vocal Performance,Individual,American Woman,American Woman
42,Best Rock Performance By A Duo Or Group With Vocal,Work,Put Your Lights On,Santana
42,Best Hard Rock Performance,Work,Whiskey In The Jar,Metallica
42,Best Metal Performance,Individual,Iron Man,Iron Man
42,Best Rock Instrumental Performance,Work,The Calling,Santana
42,Best Rock Song,Individual,Scar Tissue,Scar Tissue
42,Best Rock Album,Work,Supernatural,Santana
42,Best Alternative Music Performance,Individual,Mutations,Mutations
42,Best Female R&B Vocal Performance,Work,It's Not Right But It's Okay,Whitney Houston
42,Best Male R&B Vocal Performance,Individual,Staying Power,Staying Power
42,Best R&B Performance By A Duo Or Group With Vocal,Individual,No Scrubs,No Scrubs
42,Best Rhythm & Blues Song,Individual,No Scrubs,No Scrubs
42,Best R&B Album,Individual,Fanmail,Fanmail
42,Best Traditional R&B Vocal Performance,Individual,Staying Power,Staying Power
42,Best Rap Solo Performance,Work,My Name Is,Eminem
42,Best Rap Performance By A Duo Or Group,Work,You Got Me,The Roots
42,Best Rap Album,Work,The Slim Shady LP,Eminem
42,Best Female Country Vocal Performance,Individual,Man! I Feel Like A Woman!,Man! I Feel Like A Woman!
42,Best Male Country Vocal Performance,Individual,Choices,Choices
42,Best Country Performance By A Duo Or Group With Vocal,Work,Ready To Run,Dixie Chicks
42,Best Country Collaboration With Vocals,Work,After The Gold Rush,Emmylou Harris
42,Best Country Instrumental Performance,Work,Bob's Breakdowns,Vince Gill
42,Best Country Song,Individual,Come On Over,Come On Over
42,Best Country Album,Work,Fly,Dixie Chicks
42,Best Bluegrass Album,Individual,Ancient Tones,Ancient Tones
42,Best New Age Album,Individual,Celtic Solstice,Celtic Solstice
42,Best Contemporary Jazz Performance,Individual,Inside,Inside
42,Best Jazz Vocal Performance,Individual,When I Look In Your Eyes,When I Look In Your Eyes
42,Best Jazz Instrumental Solo,Individual,In Walked Wayne,In Walked Wayne
42,"Best Jazz Instrumental Performance, Individual Or Group",Work,Like Minds,Chick Corea
42,Best Large Jazz Ensemble Performance,Individual,Serendipity 18,Serendipity 18
42,Best Latin Jazz Performance,Individual,Latin Soul,Latin Soul
42,Best Rock Gospel Album,Individual,Pray,Pray
42,Best Pop/Contemporary Gospel Album,Individual,Speechless,Speechless
42,"Best Southern, Country, Or Bluegrass Gospel Album",Individual,Kennedy Center Homecoming,Kennedy Center Homecoming
42,Best Traditional Soul Gospel Album,Work,Christmas With Shirley Caesar,Shirley Caesar
42,Best Contemporary Soul Gospel Album,Work,Mountain High...Valley Low,Yolanda Adams
42,Best Gospel Choir Or Chorus Album,Individual,High And Lifted Up,High And Lifted Up
42,Best Latin Pop Performance,Individual,Tiempos,Tiempos
42,Best Latin Rock/Alternative Performance,Individual,Resurrection,Resurrection
42,Best Traditional Tropical Latin Performance,Individual,Mambo Birdland,Mambo Birdland
42,Best Salsa Performance,Individual,Llego...Van Van - Van Van Is Here,Llego...Van Van - Van Van Is Here
42,Best Merengue Performance,Individual,Pintame,Pintame
42,Best Mexican-American Performance,Individual,100 Años De Mariachi,100 Años De Mariachi
42,Best Tejano Performance,Individual,Por Eso Te Amo,Por Eso Te Amo
42,Best Traditional Blues Album,Work,Blues On The Bayou,B.B. King
42,Best Contemporary Blues Album,Individual,Take Your Shoes Off,Take Your Shoes Off
42,Best Traditional Folk Album,Individual,Press On,Press On
42,Best Contemporary Folk Album,Individual,Mule Variations,Mule Variations
42,Best Reggae Album,Individual,Calling Rastafari,Calling Rastafari
42,Best World Music Album,Individual,Livro,Livro
42,Best Polka Album,Individual,Polkasonic,Polkasonic
42,Best Musical Album For Children,Individual,The Adventures Of Elmo In Grouchland,The Adventures Of Elmo In Grouchland
42,Best Spoken Word Album For Children,Individual,Listen To The Storyteller,Listen To The Storyteller
42,Best Spoken Word Album,Individual,"The Autobiography Of Martin Luther King, Jr.","The Autobiography Of Martin Luther King, Jr."
42,Best Spoken Comedy Album,Individual,Bigger And Blacker,Bigger And Blacker
42,Best Musical Show Album,Individual,Annie Get Your Gun,Annie Get Your Gun
42,Best Soundtrack Album,Individual,Tarzan,Tarzan
42,"Best Instrumental Composition Written For A Motion Picture, Television Or Other Visual Media.",Individual,A Bug's Life,A Bug's Life
42,"Best Song Written For A Motion Picture, Television Or Other Visual Media.",Work,Beautiful Stranger (From Austin Powers - The Spy Who Shagged Me),Madonna
42,Best Instrumental Composition,Individual,Joyful Noise Suite,Joyful Noise Suite
42,Best Instrumental Arrangement,Individual,Chelsea Bridge,Chelsea Bridge
42,Best Instrumental Arrangement Accompanying Vocalist(s),Individual,Lonely Town,Lonely Town
42,Best Recording Package,Individual,Ride With Bob,Ride With Bob
42,Best Boxed Recording Package,Individual,Miles Davis - The Complete Bitches Brew Sessions,Miles Davis - The Complete Bitches Brew Sessions
42,Best Album Notes,Individual,John Coltrane - The Classic Quartet: Complete Impulse! Studio Recordings,John Coltrane - The Classic Quartet: Complete Impulse! Studio Recordings
42,Best Historical Album,Individual,The Duke Ellington Centennial Edition - The Complete RCA Victor Recordings (1927-1973),The Duke Ellington Centennial Edition - The Complete RCA Victor Recordings (1927-1973)
42,Best Engineered Album - Non-Classical,Individual,When I Look In Your Eyes,When I Look In Your Eyes
42,"Producer Of The Year, Non-Classical",Individual,Walter Afanasieff,Walter Afanasieff
42,"Remixer Of The Year, Non-Classical",Individual,,
42,"Best Engineered Album, Classical",Individual,Stravinsky: Firebird; The Rite Of Spring; Perséphone,Stravinsky: Firebird; The Rite Of Spring; Perséphone
42,"Producer Of The Year, Classical",Individual,Adam Abeshouse,Adam Abeshouse
42,Best Classical Album,Individual,Stravinsky: Firebird; The Rite Of Spring; Perséphone,Stravinsky: Firebird; The Rite Of Spring; Perséphone
42,Best Orchestral Performance,Individual,Stravinsky: Firebird; The Rite Of Spring; Perséphone,Stravinsky: Firebird; The Rite Of Spring; Perséphone
42,Best Opera Recording,Individual,Stravinsky: The Rake's Progress,Stravinsky: The Rake's Progress
42,Best Choral Performance,Individual,Britten: War Requiem,Britten: War Requiem
42,Best Instrumental Soloist(s) Performance (With Orchestra),Individual,Prokofiev: Piano Concertos Nos. 1 & 3/Bartók: Piano Concerto No. 3,Prokofiev: Piano Concertos Nos. 1 & 3/Bartók: Piano Concerto No. 3
42,Best Instrumental Soloist Performance (Without Orchestra),Individual,"Shostakovich: 24 Preludes & Fugues, Op. 87","Shostakovich: 24 Preludes & Fugues, Op. 87"
42,Best Chamber Music Performance,Individual,"Beethoven: The Violin Sonatas (Nos. 1-3, Op. 12; Nos. 1-3, Op. 30; ""Spring"" Sonata)","Beethoven: The Violin Sonatas (Nos. 1-3, Op. 12; Nos. 1-3, Op. 30; ""Spring"" Sonata)"
42,Best Small Ensemble Performance (With Or Without Conductor),Individual,"Colors Of Love - Works Of Thomas, Stucky, Tavener & Rands","Colors Of Love - Works Of Thomas, Stucky, Tavener & Rands"
42,Best Classical Vocal Performance,Individual,Mahler: Des Knaben Wunderhorn,Mahler: Des Knaben Wunderhorn
42,Best Classical Contemporary Composition,Individual,Boulez: Répons,Boulez: Répons
42,Best Classical Crossover Album,Individual,"Schickele: Hornsmoke (Piano Concerto No. 2 In F Major ""Ole""; Brass Calendar; Hornsmoke - A Horse Opera)","Schickele: Hornsmoke (Piano Concerto No. 2 In F Major ""Ole""; Brass Calendar; Hornsmoke - A Horse Opera)"
42,Best Short Form Music Video,Individual,Freak On A Leash,Freak On A Leash
42,Best Long Form Music Video,Individual,Band Of Gypsies - Live At Fillmore East,Band Of Gypsies - Live At Fillmore East
43,Record Of The Year,Work,Beautiful Day,U2
43,Album Of The Year,Individual,Two Against Nature,Two Against Nature
43,Song Of The Year,Work,Beautiful Day,U2
43,Best New Artist,Individual,Shelby Lynne,Shelby Lynne
43,Best Female Pop Vocal Performance,Individual,I Try,I Try
43,Best Male Pop Vocal Performance,Work,She Walks This Earth (Soberana Rosa),Sting
43,Best Pop Performance By A Duo Or Group With Vocal,Individual,Cousin Dupree,Cousin Dupree
43,Best Pop Collaboration With Vocals,Work,"Is You Is, Or Is You Ain't (My Baby)",B.B. King
43,Best Pop Instrumental Performance,Individual,Caravan,Caravan
43,Best Dance Recording,Individual,Who Let The Dogs Out,Who Let The Dogs Out
43,Best Pop Instrumental Album,Individual,Symphony No. 1,Symphony No. 1
43,Best Pop Vocal Album,Individual,Two Against Nature,Two Against Nature
43,Best Traditional Pop Vocal Album,Individual,Both Sides Now,Both Sides Now
43,Best Female Rock Vocal Performance,Individual,There Goes The Neighborhood,There Goes The Neighborhood
43,Best Male Rock Vocal Performance,Individual,Again,Again
43,Best Rock Performance By A Duo Or Group With Vocal,Work,Beautiful Day,U2
43,Best Hard Rock Performance,Individual,Guerrilla Radio,Guerrilla Radio
43,Best Metal Performance,Individual,Elite,Elite
43,Best Rock Instrumental Performance,Work,The Call Of Ktulu,Metallica
43,Best Rock Song,Individual,With Arms Wide Open,With Arms Wide Open
43,Best Rock Album,Work,There Is Nothing Left To Lose,Foo Fighters
43,Best Alternative Music Album,Work,Kid A,Radiohead
43,Best Female R&B Vocal Performance,Individual,He Wasn't Man Enough,He Wasn't Man Enough
43,Best Male R&B Vocal Performance,Work,Untitled (How Does It Feel),D'Angelo
43,Best R&B Performance By A Duo Or Group With Vocal,Individual,Say My Name,Say My Name
43,Best R&B Song,Work,Say My Name,Beyoncé
43,Best R&B Album,Work,Voodoo,D'Angelo
43,Best Traditional R&B Vocal Album,Individual,Ear-Resistible,Ear-Resistible
43,Best Rap Solo Performance,Work,The Real Slim Shady,Eminem
43,Best Rap Performance By A Duo Or Group,Work,Forgot About Dre,Dr. Dre
43,Best Rap Album,Work,The Marshall Mathers LP,Eminem
43,Best Female Country Vocal Performance,Work,Breathe,Faith Hill
43,Best Male Country Vocal Performance,Individual,Solitary Man,Solitary Man
43,Best Country Performance By A Duo Or Group With Vocal,Individual,Cherokee Maiden,Cherokee Maiden
43,Best Country Collaboration With Vocals,Work,Let's Make Love,Faith Hill
