annualGrammy,category,awardType,awardFor,name
4,Best Performance By An Orchestra - For Other Than Dancing,Work,Breakfast At Tiffany's,Henry Mancini
4,Best Arrangement,Work,Moon River,Henry Mancini
4,Best Performance By A Vocal Group,Individual,High Flying,High Flying
4,Best Performance By A Chorus,Individual,Great Band With Great Voices,Great Band With Great Voices
4,Best Sound Track Album Or Recording Of Score From Motion Picture Or Television,Work,Breakfast At Tiffany's,Henry Mancini
4,Best Sound Track Album Or Recording Of Original Cast From Motion Picture Or Television,Individual,West Side Story,West Side Story
4,Best Original Cast Show Album,Individual,How To Succeed In Business Without Really Trying,How To Succeed In Business Without Really Trying
4,Best Comedy Performance,Individual,An Evening With Mike Nichols And Elaine May,An Evening With Mike Nichols And Elaine May
4,Best Documentary Or Spoken Word Recording (Other Than Comedy),Individual,Humor In Music,Humor In Music
4,Best Engineering Contribution - Popular Recording,Individual,Judy At Carnegie Hall,Judy At Carnegie Hall
4,Best Engineering Contribution - Novelty,Individual,Stan Freberg Presents The United States Of America,Stan Freberg Presents The United States Of America
4,Best Album Cover (Other Than Classical),Individual,Judy At Carnegie Hall,Judy At Carnegie Hall
4,Best Album Cover - Classical,Individual,Puccini: Madame Butterfly,Puccini: Madame Butterfly
4,Best Recording For Children,Individual,Prokofiev: Peter And The Wolf,Prokofiev: Peter And The Wolf
4,Best Rock & Roll Recording,Individual,Let's Twist Again,Let's Twist Again
4,Best Country & Western Recording,Individual,Big Bad John,Big Bad John
4,Best Rhythm & Blues Recording,Individual,Hit The Road Jack,Hit The Road Jack
4,Best Folk Recording,Individual,Belafonte Folk Singers At Home And Abroad,Belafonte Folk Singers At Home And Abroad
4,Best Gospel Or Other Religious Recording,Individual,Everytime I Feel The Spirit,Everytime I Feel The Spirit
4,Best New Artist Of 1961,Individual,Peter Nero,Peter Nero
4,Best Classical Performance - Orchestra,Individual,Ravel: Daphnis Et Chloe,Ravel: Daphnis Et Chloe
4,Best Classical Performance - Chamber Music,Individual,"Beethoven: Serenade, Op. 8/Kodaly: Duo For Violin And Cello, Op. 7","Beethoven: Serenade, Op. 8/Kodaly: Duo For Violin And Cello, Op. 7"
4,Best Classical Performance - Instrumental Soloist (With Orchestra),Individual,Bartók: Violin Concerto No. 1,Bartók: Violin Concerto No. 1
4,Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),Individual,Reverie For Spanish Guitar,Reverie For Spanish Guitar
4,Best Opera Recording,Individual,Puccini: Madame Butterfly,Puccini: Madame Butterfly
4,Best Classical Performance - Choral (Other Than Opera),Individual,Bach: B Minor Mass,Bach: B Minor Mass
4,Best Classical Performance - Vocal Soloist (With Or Without Orchestra),Individual,The Art Of The Prima Donna,The Art Of The Prima Donna
4,Best Contemporary Classical Composition,Individual,Almeida: Discantus,Almeida: Discantus
4,Best Engineering Contribution - Classical Recording,Individual,Ravel: Daphnis Et Chloe,Ravel: Daphnis Et Chloe
5,Record Of The Year,Work,I Left My Heart In San Francisco,Tony Bennett
5,Album Of The Year (Other Than Classical),Individual,The First Family,The First Family
5,Album Of The Year - Classical,Work,Columbia Records Presents Vladimir Horowitz,Vladimir Horowitz
5,Song Of The Year,Individual,What Kind Of Fool Am I,What Kind Of Fool Am I
5,Best Instrumental Theme,Individual,A Taste Of Honey,A Taste Of Honey
5,"Best Solo Vocal Performance, Female",Work,Ella Swings Brightly With Nelson Riddle,Ella Fitzgerald
5,"Best Solo Vocal Performance, Male",Work,I Left My Heart In San Francisco,Tony Bennett
5,Best Jazz Performance - Soloist Or Small Group (Instrumental),Individual,Desafinado,Desafinado
5,Best Jazz Performance - Large Group (Instrumental),Individual,Adventures In Jazz,Adventures In Jazz
5,Best Original Jazz Composition,Individual,Cast Your Fate To The Wind,Cast Your Fate To The Wind
5,Best Performance By An Orchestra - For Dancing,Individual,Fly Me To The Moon Bossa Nova,Fly Me To The Moon Bossa Nova
5,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,Individual,The Colorful Peter Nero,The Colorful Peter Nero
5,Best Instrumental Arrangement,Work,Baby Elephant Walk,Henry Mancini
5,Best Background Arrangement,Individual,I Left My Heart In San Francisco,I Left My Heart In San Francisco
5,Best Performance By A Vocal Group,Individual,If I Had A Hammer,If I Had A Hammer
5,Best Performance By A Chorus,Individual,Presenting The New Christy Minstrels,Presenting The New Christy Minstrels
