objectid,objectid_1,input_fid,near_fid,distance,distmet,distmiles,from_county,fromschoolnum,fromschool,fromlat,fromlon,tocounty,toschoolnum,toschoolname,tolat,tolon,tsid,fsid,tcoid,fcoid,copairid,from_lat_lon,to_lat_lon,drive_time,commute_dist
905159,905159,1632,1126,0.76217318,84707.164,52.634579,PUTNAM,341,OCHWILLA ELEMENTARY SCHOOL,29.629139,-82.030746,NASSAU,181,BRYCEVILLE ELEMENTARY SCHOOL,30.385906,-81.94014,1157,1664,41,50,307,29.629139+-82.030746,30.385906+-81.94014,74.25,59.10607054799968
901688,901688,1626,1126,0.76336157,84839.242,52.716644,PUTNAM,201,INTERLACHEN ELEMENTARY SCHOOL,29.624401,-81.886948,NASSAU,181,BRYCEVILLE ELEMENTARY SCHOOL,30.385906,-81.94014,1157,1661,41,50,307,29.624401+-81.886948,30.385906+-81.94014,79.11666666666666,63.43889187147061
562965,562965,1129,1648,0.42946577,47730.398,29.658285,NASSAU,81,EMMA LOVE HARDEE ELEMENTARY,30.637701,-81.451897,ST. JOHNS,351,PONTE VEDRA PALM VALLEY- RAWLINGS ELEM SCHOOL,30.214174,-81.38073,1766,1158,54,41,308,30.637701+-81.451897,30.214174+-81.38073,72.75,53.45904915294679
562057,562057,1126,1640,0.43334037,48161.016,29.925858,NASSAU,181,BRYCEVILLE ELEMENTARY SCHOOL,30.385906,-81.94014,ST. JOHNS,241,JULINGTON CREEK ELEM. SCHOOL,30.114161,-81.602592,1758,1161,54,41,308,30.385906+-81.94014,30.114161+-81.602592,49.28333333333333,41.3609520400859
908931,908931,1640,1126,0.43334037,48161.016,29.925858,ST. JOHNS,241,JULINGTON CREEK ELEM. SCHOOL,30.114161,-81.602592,NASSAU,181,BRYCEVILLE ELEMENTARY SCHOOL,30.385906,-81.94014,1157,1760,41,54,308,30.114161+-81.602592,30.385906+-81.94014,56.13333333333333,41.04343136085262
908549,908549,1639,1126,0.43603069,48460.012,30.111647,ST. JOHNS,501,HICKORY CREEK ELEMENTARY SCHOOL,30.064547,-81.645439,NASSAU,181,BRYCEVILLE ELEMENTARY SCHOOL,30.385906,-81.94014,1157,1772,41,54,308,30.064547+-81.645439,30.385906+-81.94014,58.45,43.873777141493676
562058,562058,1126,1639,0.43603069,48460.012,30.111647,NASSAU,181,BRYCEVILLE ELEMENTARY SCHOOL,30.385906,-81.94014,ST. JOHNS,501,HICKORY CREEK ELEMENTARY SCHOOL,30.064547,-81.645439,1757,1161,54,41,308,30.385906+-81.94014,30.064547+-81.645439,54.233333333333334,45.70557941620934
978156,978156,1773,1126,0.55030096,61159.895,38.002987,UNION,31,LAKE BUTLER ELEMENTARY SCHOOL,30.016451,-82.347977,NASSAU,181,BRYCEVILLE ELEMENTARY SCHOOL,30.385906,-81.94014,1157,1804,41,59,309,30.016451+-82.347977,30.385906+-81.94014,53.78333333333333,43.540722182454466
562018,562018,1126,1773,0.55030096,61159.895,38.002987,NASSAU,181,BRYCEVILLE ELEMENTARY SCHOOL,30.385906,-81.94014,UNION,31,LAKE BUTLER ELEMENTARY SCHOOL,30.016451,-82.347977,1804,1161,59,41,309,30.385906+-81.94014,30.016451+-82.347977,45.81666666666667,40.608471526286486
562559,562559,1128,1773,0.70956391,78860.227,49.001457,NASSAU,261,CALLAHAN INTERMEDIATE SCHOOL,30.551283,-81.881676,UNION,31,LAKE BUTLER ELEMENTARY SCHOOL,30.016451,-82.347977,1804,1164,59,41,309,30.551283+-81.881676,30.016451+-82.347977,64.45,58.17712061560486
978264,978264,1773,1128,0.70956391,78860.227,49.001457,UNION,31,LAKE BUTLER ELEMENTARY SCHOOL,30.016451,-82.347977,NASSAU,261,CALLAHAN INTERMEDIATE SCHOOL,30.551283,-81.881676,1159,1804,41,59,309,30.016451+-82.347977,30.551283+-81.881676,64.85,58.075215740077944
562288,562288,1127,1773,0.75156462,83528.141,51.901962,NASSAU,121,CALLAHAN ELEMENTARY SCHOOL,30.561995,-81.831032,UNION,31,LAKE BUTLER ELEMENTARY SCHOOL,30.016451,-82.347977,1804,1160,59,41,309,30.561995+-81.831032,30.016451+-82.347977,58.21666666666667,54.57627455658952
