profid,quality,would_take_again,difficulty,accessible,amazing_lectures,pop_quizzes,caring,clear_grading,extra_credit,lots_readings,good_feedback,graded_few_things,group_projects,hilarious,inspirational,lectures_heavy,lots_homework,participation_matters,respected,cant_skip_class,many_papers,test_heavy,tough_grader
105,4.5,89,1.6,1,1,0,7,5,2,0,2,2,0,5,2,0,5,0,4,0,0,0,0
106,3.2,NA,3,0,2,0,5,2,0,0,2,0,0,0,1,1,2,0,1,2,0,1,2
107,4,NA,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,3.7,NA,2.5,0,1,0,4,4,1,0,1,0,0,1,0,0,0,0,1,3,0,0,0
109,2.9,48,3.6,2,4,4,9,5,5,1,2,1,0,9,3,2,20,0,2,19,1,6,18
110,1.7,NA,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
111,3.1,67,2.8,5,0,0,4,4,1,0,7,0,0,0,1,1,11,3,3,2,0,1,4
112,4.3,NA,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2.9,NA,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,3.9,NA,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,4.7,NA,2.1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,2,2,0,0,0,0
116,4.2,NA,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
117,4.3,93,3.1,2,2,1,5,6,4,0,4,2,0,2,2,3,8,2,3,4,0,2,5
118,4.2,NA,3,0,1,0,4,4,1,0,5,0,0,0,3,0,7,2,1,4,0,2,7
119,3.5,55,2.6,1,2,0,2,3,3,1,3,1,0,3,3,1,2,1,1,0,0,0,0
120,4.4,87,2.9,0,6,0,6,4,6,0,4,0,0,1,0,0,4,0,2,5,0,2,2
121,2.5,NA,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1.3,NA,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
123,4.8,100,2.6,1,0,0,3,1,2,0,3,0,0,1,1,0,0,2,3,2,0,0,0
124,4.9,NA,2.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,3.3,NA,2.1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
126,3.6,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,3.5,NA,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,4,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2.6,NA,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1.8,NA,4.2,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4
131,2.8,NA,3.6,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
132,4.3,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,4.5,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,5,NA,1.3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
135,3.9,NA,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
136,4.9,NA,2,0,4,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1
137,1,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,4.7,NA,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4.7,NA,3,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0
141,5,NA,3.7,3,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
142,1.5,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,3.5,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
144,4.5,NA,2.5,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
145,1.3,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,1.5,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
