profid,quality,would_take_again,difficulty,accessible,amazing_lectures,pop_quizzes,caring,clear_grading,extra_credit,lots_readings,good_feedback,graded_few_things,group_projects,hilarious,inspirational,lectures_heavy,lots_homework,participation_matters,respected,cant_skip_class,many_papers,test_heavy,tough_grader
528,3.3,NA,3.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
529,3,NA,3.5,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,5,0,0,5
530,3.9,NA,1.8,1,0,0,4,2,1,0,3,0,0,0,0,0,0,1,2,0,0,0,0
531,3,28,4.4,1,4,0,1,2,0,1,6,3,0,0,3,3,19,2,4,29,0,8,48
532,4.9,NA,1.5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,4.8,NA,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
534,2.1,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
535,4,NA,2.8,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
536,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,1,NA,3.5,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,2,3
538,4.3,NA,3.9,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1
539,4.2,NA,1.9,1,0,0,3,4,1,1,1,0,0,2,1,0,0,0,2,1,0,0,0
540,4.6,100,1.8,0,0,1,10,2,5,1,4,1,0,9,6,0,3,4,9,2,0,1,1
541,4.4,90,2.5,3,5,0,11,8,10,0,10,0,0,1,0,1,20,4,8,11,0,2,6
542,3.6,50,2.6,2,0,0,6,9,0,0,4,2,0,12,1,2,4,0,3,10,0,6,8
543,3.9,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,4.7,96,2.3,4,8,0,12,11,1,0,10,0,0,0,8,1,5,2,18,10,0,2,0
545,3.3,44,3.3,0,1,2,5,3,11,1,0,0,0,0,0,1,8,1,0,10,0,5,14
546,3.6,NA,2.3,1,0,0,1,2,2,0,0,0,0,0,0,2,3,0,0,3,0,1,3
547,3.5,55,2.2,2,1,0,6,1,8,0,4,0,0,0,0,1,6,0,2,3,0,2,1
548,2.3,NA,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,5,NA,1.4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
550,4.3,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,4.7,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,3.1,NA,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,1.9,NA,3.9,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,4,0,0,1
554,4.6,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,2.1,NA,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,3.9,NA,2.6,0,0,1,1,0,0,1,1,0,0,0,0,2,1,0,0,3,0,0,0
557,4,75,2.6,2,2,0,7,2,5,0,4,0,0,2,0,2,3,0,5,2,0,1,5
558,3.5,67,2.1,0,0,1,10,7,2,0,5,3,0,1,0,0,2,0,6,4,0,1,1
559,3.1,NA,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,4.4,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,1.8,NA,2.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1
562,2.6,29,3.1,0,2,0,2,1,2,0,2,1,0,0,0,1,4,1,0,5,0,1,5
563,4,88,2.2,0,1,0,2,4,1,0,1,0,0,1,1,0,5,2,3,2,0,1,0
564,4.7,NA,1.9,1,1,0,8,2,9,0,2,0,0,0,0,0,6,1,1,0,0,0,0
565,3.2,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,3.9,NA,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,3.5,NA,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,2.3,NA,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
569,3.4,NA,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,4.5,NA,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,1.1,NA,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
572,4,NA,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,4.9,NA,2.3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
574,5,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,4.8,NA,2.7,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
576,1.5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,1,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,1,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,5,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
582,4.7,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,4.2,82,2.5,0,1,0,3,13,0,0,3,0,0,2,1,0,7,0,2,1,0,0,1
584,1.5,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,4.4,83,2.1,0,0,0,4,2,1,0,4,2,0,2,0,0,3,1,4,1,0,1,2
586,4.3,NA,2.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
587,4.5,100,1.9,2,2,0,3,4,16,0,1,1,0,1,1,0,6,0,3,1,0,0,1
588,4.7,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,4,NA,2.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
590,2.1,18,4.2,2,0,0,1,0,0,1,0,1,0,1,1,5,6,5,0,6,0,3,12
591,2.8,64,3.2,1,0,2,1,7,3,0,3,0,0,1,0,4,7,4,3,5,0,1,2
592,4.5,NA,2.2,0,1,1,0,1,1,0,1,1,0,0,0,0,2,2,2,0,0,0,0
593,4.8,100,2.4,7,2,0,6,6,0,1,8,1,0,11,5,0,1,0,6,2,0,0,1
594,2.8,67,3.4,1,8,1,12,6,6,0,10,2,0,2,4,3,3,5,9,11,0,5,19
595,4.2,NA,2.3,0,0,0,5,0,0,0,4,0,0,0,1,0,1,0,4,1,0,0,0
596,4.2,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,3,50,4.2,1,1,1,0,1,3,0,1,1,0,0,0,1,1,0,3,0,0,2,2
598,3.1,29,3.2,0,0,0,1,0,0,0,0,1,0,0,0,3,4,0,0,3,0,2,6
599,2.5,NA,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,4.1,NA,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,4.6,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,3.7,NA,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,4.9,100,1.7,2,5,0,12,5,14,0,8,1,0,4,2,0,0,1,9,7,0,1,1
604,3,43,3.3,0,0,0,1,4,0,1,0,0,0,3,1,3,2,1,3,2,0,0,2
605,4.7,NA,1.5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
606,4.3,NA,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
607,3.6,NA,3,0,0,0,2,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,2
608,4.7,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,5,NA,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,4,NA,3,0,0,0,3,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0
611,2.1,NA,3.8,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,3,0,0,2
612,4.5,86,2.8,0,8,0,4,6,0,0,5,0,0,4,1,2,3,2,3,3,0,1,1
613,2.9,NA,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,2.6,NA,3.5,0,0,2,0,0,0,1,0,0,0,0,0,1,3,0,0,5,0,0,1
615,4.6,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,1.5,NA,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,4.4,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,2.1,20,3.9,3,0,0,2,3,4,2,2,3,0,3,0,3,1,2,0,19,0,6,16
619,4.7,NA,2.6,0,0,0,3,1,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0
620,4.5,83,2.3,3,10,0,13,10,20,0,9,0,0,0,4,6,2,1,12,10,0,5,4
621,4.3,NA,2.7,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
622,4.3,93,2.6,0,3,0,12,6,3,0,6,0,0,10,4,0,3,3,13,9,0,0,2
623,2.5,25,3.5,0,0,0,0,2,0,0,1,1,0,1,1,0,10,2,1,6,0,3,10
624,4.4,NA,2.1,0,0,0,3,2,1,0,1,0,0,1,1,0,0,0,2,1,0,0,1
625,4.3,NA,1.7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
626,5,NA,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
627,2,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,2.3,NA,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
629,3.5,NA,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,3.3,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,4.8,96,1.8,4,15,0,15,4,10,0,11,2,0,0,22,0,3,3,14,6,0,0,1
632,4.7,100,1.8,3,0,0,11,8,0,0,7,2,0,3,2,0,0,4,4,2,0,2,0
633,4.1,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,2.9,NA,3.5,0,0,0,6,2,3,0,0,0,0,0,0,0,4,0,3,3,0,0,4
635,3.2,NA,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,2.7,NA,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,4.4,86,2.5,0,1,0,3,3,6,0,0,0,0,1,0,0,1,0,1,2,0,1,1
638,4.9,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,3.8,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,5,NA,1.5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
641,2.4,33,4,0,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,5,0,3,3
642,2.6,NA,3.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1
643,4.4,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,3.3,71,3.1,0,2,1,4,1,6,0,4,0,0,0,1,2,4,1,2,3,1,1,7
645,3.8,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,3,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
